,Name,ID,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
342,saldanha,3361934.0,-33.01,17.94,60.8,87.0,83.0,11.41
343,jizan,105298.0,17.33,42.67,71.6,68.0,40.0,2.04
344,manggar,1636426.0,-2.88,108.27,82.26,77.0,90.0,7.83
345,mollendo,3934707.0,-17.02,-72.01,69.73,87.0,52.0,4.21
346,baruun-urt,2032614.0,46.68,113.28,14.2,81.0,0.0,13.67
347,acarau,3408368.0,-2.89,-40.12,77.0,95.0,90.0,4.54
348,tefe,3661944.0,-3.35,-64.71,75.07,96.0,85.0,1.9
349,vostok,2013279.0,46.49,135.88,5.63,77.0,51.0,6.69
350,ponta delgada,3372783.0,37.73,-25.67,55.4,93.0,40.0,4.7
351,coquimbo,3893629.0,-29.95,-71.34,64.4,88.0,0.0,8.05
353,ermelo,1005125.0,-26.53,29.98,55.35,96.0,10.0,5.28
354,kruisfontein,986717.0,-34.0,24.73,64.71,87.0,89.0,22.73
355,koumac,2140558.0,-20.57,164.28,83.79,58.0,100.0,4.68
356,keetmanshoop,3356264.0,-26.58,18.13,62.6,72.0,0.0,11.41
357,abong mbang,2236053.0,3.98,13.18,56.39,31.0,100.0,2.26
358,kyra,2021041.0,49.58,111.98,7.29,71.0,0.0,2.35
359,caravelas,3466980.0,-17.71,-39.25,79.09,84.0,100.0,19.69
360,zaozerne,687726.0,45.16,33.28,44.87,60.0,18.0,8.55
361,koungou,1090225.0,-12.73,45.2,77.0,94.0,89.0,4.7
362,fukuma,1863978.0,33.77,130.47,54.0,81.0,75.0,8.05
363,conakry,2422465.0,9.54,-13.68,74.93,81.0,80.0,5.06
364,asau,686090.0,46.43,26.4,32.0,85.0,25.0,3.31
365,ranfurly,2183774.0,-45.13,170.1,79.0,49.0,70.0,3.0
366,umm bab,289548.0,25.21,50.81,57.99,30.0,40.0,14.99
367,kapit,1737185.0,2.02,112.93,83.7,71.0,90.0,3.13
368,sfantu gheorghe,667303.0,45.87,25.78,33.01,86.0,90.0,1.03
369,dharchula,1272864.0,29.85,80.53,32.77,39.0,45.0,8.79
370,praia,3374333.0,14.92,-23.51,70.63,75.0,87.0,13.87
371,biltine,244878.0,14.53,20.92,59.16,19.0,0.0,16.87
372,paita,3694112.0,-5.09,-81.11,78.21,71.0,100.0,12.91
373,umm lajj,100926.0,25.02,37.27,48.34,32.0,0.0,12.75
374,port macquarie,2152659.0,-31.43,152.92,98.01,52.0,32.0,9.17
375,rio tuba,1691703.0,8.51,117.43,82.58,77.0,0.0,7.4
376,dubrovnik,3201047.0,42.65,18.09,51.8,71.0,40.0,9.17
377,tyukhtet,1488774.0,56.54,89.3,15.91,91.0,93.0,9.55
378,antananarivo,1070940.0,-18.91,47.54,64.4,82.0,75.0,8.05
379,saint george,5546220.0,37.1,-113.58,55.4,54.0,1.0,0.96
380,kuliyapitiya,1238427.0,7.47,80.04,75.2,88.0,20.0,10.29
382,ballina,2177069.0,-28.87,153.57,84.2,65.0,40.0,14.99
383,kirakira,2178753.0,-10.45,161.92,84.58,77.0,3.0,7.16
384,saint-joseph,6690296.0,-21.37,55.62,73.4,78.0,90.0,9.17
385,vaitape,4033077.0,-16.52,-151.75,83.16,72.0,62.0,8.79
386,dunedin,2191562.0,-45.87,170.5,66.99,65.0,0.0,24.14
387,coihaique,3894426.0,-45.58,-72.07,62.6,45.0,5.0,8.05
388,sheopur,1256593.0,25.67,76.7,59.76,36.0,1.0,1.77
389,bonavista,5905393.0,48.65,-53.11,19.99,80.0,53.0,10.0
390,pinawa,6104820.0,50.15,-95.88,14.4,96.0,88.0,4.59
392,kavieng,2094342.0,-2.57,150.8,84.87,72.0,48.0,11.7
393,russell,4047434.0,32.35,-85.2,48.2,80.0,1.0,4.41
